Age,KM,FuelType,FuelType2,HP,MetColor,Automatic,CC,Doors,Weight
18,23902,1,1,97,1,0,1400,3,1100
20,23175,1,1,110,1,0,1600,3,1120
19,19200,1,1,97,1,0,1400,3,1100
13,18000,1,1,71,0,0,1400,3,1125
11,16123,1,1,110,1,0,1600,3,1105
11,14635,1,1,110,1,1,1600,3,1155
19,13748,1,1,97,1,0,1400,3,1100
14,11500,1,1,110,1,0,1600,3,1045
17,10000,1,1,97,1,0,1400,3,1100
20,7187,1,1,110,1,0,1600,3,1105
4,1,0,0,116,0,0,2000,5,1480
4,4000,0,0,116,1,0,2000,5,1480
4,1500,0,0,116,1,0,2000,5,1480
8,13253,0,0,116,1,0,2000,5,1320
8,13253,0,0,116,1,0,2000,5,1320
7,10000,0,0,116,1,0,2000,5,1270
8,6000,0,0,90,1,0,2000,5,1280
8,10841,0,0,90,1,0,2000,5,1270
7,1,1,1,110,1,0,1600,3,1105
20,63000,0,0,90,1,0,2000,5,1255
17,57313,0,0,110,1,0,2000,5,1275
13,57037,1,1,110,0,0,1600,5,1115
19,51099,0,0,90,1,0,2000,5,1255
14,40010,1,1,110,1,0,1600,5,1115
20,39115,1,1,110,1,0,1600,5,1130
17,36012,1,1,110,0,0,1600,5,1130
16,36000,1,1,110,1,0,1600,5,1130
20,36000,1,1,110,1,0,1600,5,1075
20,35000,1,1,97,1,0,1400,5,1110
17,33740,1,1,97,1,0,1400,5,1135
13,33477,1,1,110,1,0,1600,5,1075
20,32627,1,1,97,1,0,1400,5,1110
20,29797,1,1,97,1,0,1400,5,1110
19,29441,1,1,97,1,0,1400,5,1110
13,29371,1,1,110,1,0,1600,4,1105
20,29000,1,1,97,0,0,1400,5,1110
19,27821,1,1,97,0,0,1400,5,1110
19,27371,1,1,97,0,0,1400,5,1135
13,25170,1,1,110,1,0,1600,5,1105
11,25000,0,0,116,1,0,2000,5,1320
20,23000,1,1,110,1,0,1600,5,1130
20,22588,1,1,97,1,0,1400,5,1110
19,21684,1,1,192,1,0,1800,5,1185
13,21428,1,1,110,1,0,1600,5,1130
16,20629,1,1,110,1,0,1600,4,1090
15,20270,1,1,110,1,0,1600,5,1130
16,20105,1,1,97,0,0,1400,5,1110
20,20000,1,1,110,0,1,1600,5,1165
13,19988,1,1,110,1,0,1600,5,1130
19,18328,1,1,110,0,0,1600,5,1130
14,17896,1,1,110,1,1,1600,4,1150
20,17300,1,1,97,1,0,1400,5,1110
19,17038,1,1,110,0,0,1600,5,1130
10,13747,1,1,97,1,0,1400,5,1110
12,13634,1,1,110,1,0,1600,5,1115
13,13178,1,1,110,1,0,1600,5,1130
15,13157,1,1,97,1,0,1400,4,1085
16,13000,1,1,110,1,0,1600,4,1105
11,12500,1,1,110,1,0,1600,5,1115
17,11999,1,1,110,1,0,1600,5,1130
16,11754,1,1,110,0,1,1600,5,1180
16,11000,1,1,110,1,0,1600,4,1105
17,10000,1,1,110,0,0,1598,5,1105
9,7650,1,1,110,1,0,1600,5,1115
14,6500,1,1,110,1,0,1600,4,1100
11,6155,1,1,97,1,0,1400,5,1110
14,6000,1,1,110,0,0,1600,5,1130
14,5459,1,1,110,1,0,1600,5,1130
14,5278,1,1,110,1,1,1600,4,1150
12,5000,1,1,110,1,0,1600,5,1130
9,1,1,1,98,1,0,1400,4,1065
9,1,1,1,110,1,0,1600,5,1075
8,11000,1,1,110,1,0,1600,5,1130
8,10077,1,1,97,1,0,1400,5,1110
8,10000,1,1,97,1,0,1400,5,1110
8,9788,1,1,110,1,0,1600,5,1130
8,8574,1,1,110,1,0,1600,5,1130
8,7000,1,1,110,0,0,1600,5,1115
7,6250,1,1,110,1,0,1600,5,1115
8,5000,1,1,110,1,0,1600,5,1130
6,3000,1,1,110,0,0,1600,5,1130
7,2000,1,1,110,0,0,1600,5,1075
7,450,1,1,97,1,0,1400,5,1110
2,225,1,1,97,1,0,1400,5,1110
2,15,1,1,110,1,0,1600,5,1130
1,1,1,1,98,1,0,1400,4,1100
1,1,1,1,110,1,0,1600,5,1075
43,243000,0,0,69,0,0,1900,3,1110
38,180638,0,0,90,0,0,2000,4,1160
40,179860,0,0,90,1,0,2000,5,1205
43,178858,0,1,110,0,0,1600,3,1084
40,161000,0,0,69,1,0,1900,3,1105
44,158320,0,0,69,0,0,1800,5,1110
44,131273,0,0,69,1,0,1800,5,1110
40,130062,0,0,69,1,0,1900,5,1140
41,123425,0,0,69,1,0,1900,5,1140
37,118217,1,1,110,1,0,1600,5,1075
44,110000,0,0,69,1,0,1900,5,1095
39,108847,0,0,90,1,0,2000,5,1205
42,105699,1,1,97,1,0,1400,3,1025
39,98823,0,1,110,1,0,1600,5,1119
44,96829,1,1,110,1,0,1600,5,1075
40,96518,1,1,97,1,0,1400,3,1025
42,92204,1,1,110,1,0,1600,5,1075
35,91456,0,0,69,1,0,1900,3,1110
43,89968,0,0,69,1,0,1900,5,1140
44,89757,1,1,110,1,0,1600,3,1045
40,85389,1,1,110,1,0,1600,5,1075
43,85017,1,1,97,0,0,1400,5,1060
41,84312,1,1,110,0,0,1600,5,1080
37,82743,0,1,110,1,0,1600,5,1121
41,81106,0,0,69,1,0,1900,5,1140
40,80425,0,0,90,1,0,2000,5,1205
34,78677,1,1,110,1,1,1600,5,1105
40,78425,1,1,110,1,0,1600,5,1075
33,78108,0,0,90,1,0,2000,3,1170
33,77321,1,1,110,1,0,1600,5,1075
33,75699,0,0,69,0,0,1900,3,1105
41,75697,1,1,97,1,0,1400,3,1025
44,74846,1,1,97,1,0,1400,3,1025
38,74319,1,1,110,1,0,1600,5,1075
43,74285,1,1,110,1,0,1600,5,1075
44,74172,1,1,110,1,0,1600,5,1615
40,73042,1,1,110,1,0,1598,5,1075
44,71793,0,1,110,1,0,1600,4,1067
35,71200,1,1,110,1,0,1600,5,1075
38,67805,1,1,110,1,0,1600,5,1075
35,65988,1,1,110,1,0,1600,3,1040
34,65345,1,1,97,1,0,1400,5,1060
42,64564,1,1,110,1,0,1600,5,1080
36,63459,1,1,97,1,0,1400,5,1060
44,63451,1,1,97,0,0,1400,3,1025
33,62000,1,1,110,1,0,1600,5,1075
42,61300,1,1,97,1,0,1400,3,1030
41,61200,1,1,110,1,0,1600,3,1045
41,61000,1,1,110,0,0,1600,5,1075
38,60829,1,1,110,1,0,1600,5,1075
44,60500,1,1,110,0,0,1600,5,1075
35,59500,0,0,69,1,0,1900,3,1110
44,59000,1,1,110,0,1,1600,5,1110
40,58954,1,1,110,1,0,1600,5,1080
38,58798,1,1,110,1,0,1600,5,1075
38,58363,1,1,110,1,0,1600,3,1055
43,58277,1,1,110,1,0,1600,3,1045
33,57711,0,0,90,1,0,2000,3,1165
33,57269,1,1,110,1,0,1600,5,1075
39,56001,1,1,110,1,0,1600,5,1075
42,55968,1,1,110,0,0,1600,3,1050
39,55678,1,1,110,1,0,1600,4,1030
43,55539,1,1,110,1,0,1600,5,1085
42,55400,1,1,110,0,0,1600,5,1075
33,55350,1,1,110,0,0,1600,5,1075
43,54600,1,1,110,0,0,1600,4,1030
43,53773,1,1,110,1,0,1600,5,1075
42,53719,1,1,110,1,1,1600,5,1105
39,53644,1,1,110,1,0,1600,5,1075
42,53350,1,1,110,0,0,1600,5,1075
38,53000,1,1,110,1,0,1600,5,1075
44,52084,1,1,97,1,0,1400,3,1025
44,52000,1,1,97,0,0,1400,3,1025
33,51945,1,1,110,1,0,1600,5,1075
41,51732,1,1,97,1,0,1400,3,1025
39,50873,1,1,110,1,0,1600,5,1075
41,50856,1,1,110,0,0,1600,4,1030
40,50640,1,1,110,1,0,1600,5,1075
39,50000,1,1,97,1,0,1400,5,1060
38,49500,1,1,110,1,0,1600,5,1075
44,49332,1,1,110,1,0,1600,5,1080
34,49291,1,1,110,1,0,1600,3,1040
40,48952,0,0,90,1,0,2000,5,1205
39,48945,1,1,110,0,0,1600,3,1040
33,48928,0,0,69,1,0,1900,3,1105
38,48197,1,1,110,1,0,1600,5,1075
35,48052,0,0,69,1,0,1900,3,1105
34,48011,1,1,110,1,0,1600,4,1030
43,48000,1,1,110,1,0,1600,5,1075
41,47350,1,1,110,1,0,1600,5,1075
39,46821,1,1,97,1,0,1400,5,1060
39,46694,1,1,110,0,0,1600,3,1040
43,46515,1,1,97,0,0,1400,5,1025
38,46327,1,1,110,1,0,1600,3,1055
35,46304,1,1,97,1,0,1400,5,1060
40,45886,1,1,110,1,0,1600,5,1080
39,45713,1,1,97,1,0,1400,5,1085
40,45600,1,1,110,1,1,1600,5,1105
41,45287,1,1,110,1,0,1600,5,1075
39,45081,1,1,110,1,0,1600,5,1075
40,44830,1,1,110,1,0,1600,5,1075
37,44757,1,1,97,0,0,1400,3,1025
44,44218,1,1,97,1,0,1400,5,1060
43,43632,1,1,110,1,0,1600,5,1075
36,43427,1,1,110,1,0,1600,3,1040
39,43254,1,1,110,1,0,1600,5,1075
35,43000,1,1,110,0,0,1600,3,1050
33,42823,1,1,110,1,0,1600,5,1075
42,42560,1,1,110,1,0,1600,5,1080
38,41754,1,1,110,0,0,1600,3,1040
44,41499,0,1,110,1,0,1600,5,1103
40,41339,1,1,110,1,0,1600,5,1080
35,41000,1,1,110,1,0,1600,5,1075
39,40000,1,1,110,1,0,1600,3,1055
37,39757,1,1,110,1,0,1600,5,1075
41,39659,1,1,110,1,0,1600,3,1045
43,39650,1,1,110,0,0,1600,3,1055
39,39524,1,1,97,1,0,1398,3,1025
44,39516,1,1,97,1,0,1400,5,1060
41,39439,1,1,97,0,0,1400,5,1060
44,39000,1,1,97,1,0,1400,3,1025
42,38932,1,1,110,1,0,1600,3,1040
37,38812,1,1,97,0,0,1400,3,1025
42,38665,1,1,110,1,0,1600,5,1075
40,38653,1,1,110,1,0,1600,5,1080
44,38461,1,1,110,1,0,1600,5,1080
42,38078,1,1,97,0,0,1400,3,1025
39,37782,1,1,97,1,0,1400,5,1060
43,37576,1,1,97,0,0,1400,3,1030
41,37533,1,1,110,1,0,1600,5,1075
44,37389,1,1,110,1,0,1600,5,1080
38,37320,1,1,97,1,0,1400,3,1025
42,37000,1,1,97,1,0,1400,3,1025
44,37000,1,1,110,0,0,1600,4,1075
40,36566,1,1,110,0,0,1600,5,1090
36,36269,1,1,110,1,0,1600,5,1075
37,36074,1,1,110,1,1,1600,5,1075
44,36066,1,1,110,1,0,1600,3,1040
39,34599,1,1,110,1,0,1600,5,1075
41,34000,1,1,110,1,0,1600,5,1075
42,33623,1,1,97,1,0,1400,3,1025
33,33591,1,1,110,1,0,1600,5,1075
35,33258,1,1,110,1,0,1600,5,1075
43,33113,1,1,110,1,0,1600,5,1075
41,33000,1,1,110,1,1,1600,5,1075
35,32941,1,1,110,1,0,1600,5,1080
38,32781,1,1,110,0,0,1600,5,1075
40,32532,1,1,110,1,0,1600,3,1040
34,32431,1,1,97,1,0,1400,5,1060
35,32000,1,1,110,0,0,1600,3,1040
33,31000,1,1,110,1,0,1600,5,1075
41,30989,1,1,110,0,0,1600,3,1045
43,30742,1,1,110,1,0,1600,3,1040
42,30190,1,1,110,1,0,1600,5,1075
41,29716,1,1,116,1,0,1600,5,1075
44,29716,1,1,110,1,1,1600,3,1070
42,29640,1,1,110,0,0,1600,3,1055
41,29056,1,1,97,1,0,1400,5,1060
33,28715,1,1,110,1,0,1600,5,1075
41,28571,1,1,110,0,0,1600,5,1090
40,28362,1,1,110,1,0,1600,3,1040
38,28150,1,1,110,1,0,1600,5,1075
43,27301,1,1,110,1,0,1600,3,1040
33,27240,1,1,110,1,0,1600,5,1075
39,27170,1,1,97,1,0,1400,5,1060
42,27141,1,1,97,1,0,1400,5,1060
38,26262,1,1,110,1,0,1600,5,1075
38,26000,1,1,97,1,0,1400,5,1060
43,25228,1,1,110,1,0,1600,3,1045
39,25062,1,1,110,1,0,1600,5,1080
39,24723,1,1,110,1,1,1600,4,1060
33,24650,1,1,110,1,0,1600,3,1055
43,24553,1,1,110,1,0,1600,5,1080
41,24475,1,1,110,1,0,1600,5,1030
39,24444,1,1,110,1,0,1600,3,1040
35,24011,1,1,97,0,0,1400,3,1025
41,24000,1,1,97,1,0,1400,3,1025
40,23616,1,1,110,1,0,1600,5,1075
38,22865,1,1,110,1,0,1600,5,1075
41,22780,1,1,86,1,0,1300,5,1035
35,21904,1,1,97,0,0,1400,3,1025
41,21651,1,1,97,0,0,1400,3,1025
37,21500,1,1,110,1,0,1600,5,1030
44,21027,1,1,110,1,0,1600,5,1080
39,18500,1,1,110,0,0,1600,4,1030
35,18000,1,1,110,1,0,1600,5,1075
40,17051,1,1,97,0,0,1400,5,1060
33,16512,1,1,97,1,0,1400,5,1085
40,16325,1,1,110,1,0,1600,5,1080
38,16000,1,1,97,1,0,1400,5,1060
39,12000,1,1,110,1,0,1600,5,1075
43,10000,1,1,97,1,0,1400,5,1060
53,216000,0,0,69,0,0,1900,3,1110
51,198167,0,0,69,0,0,1900,4,1095
53,176000,0,0,69,0,0,1900,3,1105
54,174139,0,0,72,1,0,2000,4,1100
45,174000,0,0,69,1,0,1900,5,1095
55,150000,0,1,110,1,0,1600,3,1075
54,149329,0,0,72,1,0,2000,5,1135
51,146736,1,1,110,1,0,1600,5,1080
53,143513,0,0,69,0,0,1900,5,1140
48,142130,0,1,110,0,0,1600,5,1119
48,140700,0,0,69,1,0,1900,5,1110
54,138394,0,0,69,1,0,1900,4,1095
55,137000,0,0,72,1,0,2000,5,1135
52,135258,0,0,69,1,0,1900,5,1140
49,131364,1,1,110,1,0,1600,5,1075
56,129155,0,0,69,0,0,1800,5,1110
50,126110,1,1,110,0,0,1600,3,1055
48,119742,1,1,110,1,0,1600,5,1080
53,117913,0,0,69,1,0,1900,5,1110
47,117430,0,0,90,1,0,2000,3,1165
55,117175,1,1,110,1,0,1600,4,1035
54,115558,1,1,110,1,0,1600,4,1035
53,115113,1,1,97,1,0,1400,3,1025
54,115046,0,0,69,1,0,1900,5,1140
56,113997,0,0,72,1,0,2000,5,1135
49,107859,1,1,97,0,0,1400,5,1060
52,104805,1,1,97,1,0,1400,3,1025
54,103454,1,1,110,1,0,1600,5,1075
51,103018,0,0,69,0,0,1900,5,1140
47,102352,1,1,110,1,0,1600,5,1080
50,102030,1,1,97,1,0,1400,5,1060
54,101352,1,1,110,0,0,1600,5,1080
50,99865,1,1,110,1,0,1600,4,1035
52,99323,1,1,110,1,0,1600,3,1055
48,98100,0,0,69,1,0,1900,5,1140
51,98040,1,1,110,0,0,1600,5,1080
49,97600,1,1,110,1,0,1600,3,1045
55,97234,1,1,110,0,0,1600,5,1080
51,96135,0,0,72,0,0,2000,3,1115
54,96100,1,1,110,1,0,1600,5,1080
55,94401,0,0,72,0,0,2000,3,1115
55,94122,1,1,86,1,0,1300,3,1015
49,91340,1,1,110,1,0,1600,3,1055
53,90200,1,1,97,0,0,1400,3,1025
53,90097,0,0,69,1,0,1900,5,1140
48,89049,1,1,97,1,0,1400,5,1060
52,89000,1,1,110,0,0,1600,5,1075
45,87274,1,1,110,1,0,1600,3,1040
49,86221,1,1,110,0,0,1600,3,1045
54,84598,1,1,110,0,0,1600,5,1075
50,83567,1,1,110,0,0,1600,5,1075
50,83106,1,1,110,1,0,1600,5,1075
50,82805,1,1,110,1,0,1600,3,1040
50,82735,1,1,97,1,0,1400,3,1030
54,81905,1,1,110,1,0,1600,5,1105
49,80320,1,1,110,1,1,1600,3,1070
49,80090,1,1,97,1,0,1400,3,1030
53,79800,1,1,110,0,0,1600,5,1075
47,78785,0,1,110,1,0,1600,5,1119
48,78600,1,1,110,1,0,1600,5,1075
55,77780,1,1,110,0,0,1600,3,1040
49,77648,1,1,110,0,0,1600,4,1030
54,77270,1,1,110,1,0,1600,4,1035
50,76167,1,1,97,1,0,1400,5,1060
46,75249,1,1,110,1,0,1600,4,1035
54,75231,1,1,110,1,0,1600,5,1080
48,75045,1,1,110,1,0,1600,3,1055
50,74849,1,1,110,1,1,1600,4,1060
55,74715,1,1,110,1,0,1600,5,1080
49,74656,0,0,69,0,0,1900,3,1105
56,74500,1,1,97,0,0,1400,3,1025
49,74494,1,1,110,1,0,1600,5,1075
50,73634,1,1,110,0,0,1587,5,1075
47,73403,1,1,110,1,0,1600,5,1075
49,73175,1,1,97,1,0,1400,3,1030
52,73000,1,1,110,0,0,1600,3,1055
50,72242,1,1,110,0,1,1600,3,1070
53,72000,1,1,97,1,0,1400,3,1025
54,71725,1,1,110,1,0,1600,4,1035
54,71276,1,1,110,0,0,1600,5,1080
50,70440,0,0,69,1,0,1900,3,1105
53,70239,1,1,110,0,0,1600,3,1040
55,69813,1,1,97,1,0,1400,3,1025
49,69659,1,1,86,0,0,1300,3,1025
46,69574,1,1,97,0,0,1400,5,1065
47,69000,0,0,69,1,0,1900,5,1140
49,68565,1,1,110,1,0,1600,4,1030
55,68520,0,0,72,1,0,2000,3,1115
46,68414,1,1,97,0,0,1400,3,1025
56,66777,1,1,110,0,0,1600,5,1090
52,66527,1,1,110,1,0,1600,5,1080
54,66063,1,1,110,1,0,1600,5,1090
50,65471,1,1,97,1,0,1400,5,1060
56,65400,1,1,97,1,0,1400,3,1025
52,65170,1,1,97,1,0,1400,3,1025
56,65000,1,1,110,1,0,1600,5,1075
48,64193,1,1,110,1,0,1600,3,1040
54,64000,1,1,97,1,0,1400,3,1025
54,63792,1,1,110,1,0,1600,5,1075
53,63635,1,1,110,1,0,1600,4,1035
54,63135,1,1,110,1,0,1600,3,1050
54,63123,1,1,110,1,0,1600,4,1035
48,63000,0,0,69,1,0,1900,5,1140
55,63000,1,1,110,0,0,1600,4,1035
54,62987,1,1,110,0,0,1600,5,1080
56,62751,1,1,110,0,0,1600,3,1050
54,62519,1,1,97,0,0,1400,3,1025
50,62280,1,1,97,1,0,1400,5,1060
50,61672,1,1,110,0,0,1600,5,1075
54,61000,0,0,69,0,0,2000,5,1140
56,61000,1,1,110,1,0,1600,3,1050
53,60558,1,1,110,1,0,1600,4,1105
47,60348,1,1,110,0,0,1600,4,1030
54,60239,1,1,110,1,0,1600,5,1075
51,59000,1,1,97,1,0,1400,3,1025
51,58761,1,1,97,0,0,1300,5,1060
54,58745,1,1,110,1,0,1600,4,1035
52,58596,1,1,110,1,0,1600,3,1045
54,58530,1,1,110,0,0,1600,5,1075
55,58377,1,1,110,1,0,1600,3,1050
56,58142,1,1,110,1,0,1600,5,1080
53,57948,1,1,97,1,0,1400,3,1025
51,57645,1,1,110,0,0,1600,5,1080
47,57500,1,1,110,1,0,1600,4,1105
53,57475,1,1,110,0,0,1600,3,1040
55,56743,1,1,110,0,0,1600,3,1045
48,56675,1,1,97,1,0,1400,3,1025
54,55877,1,1,110,1,0,1600,5,1075
53,55500,1,1,110,1,0,1600,4,1035
55,54900,1,1,97,1,0,1400,5,1060
50,54465,1,1,110,0,0,1600,5,1075
46,53700,1,1,97,1,0,1400,5,1060
52,53561,1,1,97,1,0,1400,5,1060
51,53408,1,1,110,1,0,1600,5,1080
51,53268,1,1,110,1,0,1600,5,1080
49,53116,1,1,97,1,0,1400,3,1025
56,52448,1,1,97,0,0,1400,3,1025
55,52149,1,1,97,1,0,1400,3,1085
55,52141,1,1,110,1,0,1600,5,1070
56,52000,1,1,97,0,0,1400,3,1025
48,50967,1,1,97,1,0,1400,5,1060
50,50400,1,1,110,0,0,1600,5,1080
54,50000,1,1,97,1,0,1400,3,1025
51,50000,1,1,86,1,0,1300,5,1045
53,49969,1,1,110,0,0,1600,5,1075
49,49568,1,1,110,1,0,1600,3,1105
51,49473,1,1,110,0,0,1600,3,1055
52,49432,1,1,110,1,0,1600,3,1050
48,49417,1,1,110,1,0,1600,3,1045
54,49366,1,1,97,1,0,1400,3,1025
56,48731,1,1,110,1,0,1600,3,1055
54,48370,1,1,110,1,0,1600,5,1080
48,48071,1,1,97,0,0,1400,3,1025
54,47852,1,1,110,1,0,1600,4,1030
54,47768,1,1,110,0,0,1600,3,1055
52,47689,1,1,110,0,0,1600,5,1075
53,47451,1,1,110,1,0,1600,3,1055
50,47219,1,1,110,1,0,1600,5,1080
56,47211,1,1,110,1,0,1600,5,1070
54,46856,1,1,97,0,0,1400,5,1060
56,46500,1,1,86,0,0,1300,5,1035
52,46449,1,1,110,1,0,1600,4,1035
47,46391,1,1,110,0,0,1600,5,1075
54,46230,1,1,110,1,0,1600,3,1055
52,46029,1,1,110,1,0,1600,4,1030
50,46000,1,1,97,0,0,1400,3,1025
50,45900,1,1,110,1,0,1600,5,1075
47,45850,1,1,97,0,0,1400,5,1060
56,45336,1,1,110,1,0,1600,5,1080
55,44537,1,1,97,0,0,1400,3,1025
56,43700,1,1,86,1,0,1300,3,1025
48,43120,1,1,97,1,0,1400,3,1030
49,41710,1,1,110,0,0,1600,3,1040
52,41700,1,1,97,1,0,1400,3,1025
49,41636,1,1,110,1,0,1600,5,1105
50,41273,1,1,97,0,0,1400,5,1060
49,40836,1,1,110,0,1,1600,3,1075
50,40400,1,1,97,1,0,1400,5,1060
47,40361,1,1,110,1,0,1600,5,1090
54,40325,1,1,86,0,0,1300,5,1045
47,40000,1,1,110,0,0,1600,5,1080
50,39706,1,1,110,1,0,1600,5,1080
54,39291,1,1,110,1,0,1600,3,1040
54,39000,1,1,97,0,0,1400,3,1025
47,38900,1,1,97,1,0,1400,3,1025
51,38403,1,1,110,0,0,1600,3,1055
56,37461,1,1,97,0,0,1400,3,1025
54,37000,1,1,97,1,0,1400,3,1025
55,36406,1,1,110,1,0,1600,4,1035
48,36005,1,1,97,1,0,1400,5,1065
52,36000,1,1,110,1,0,1600,5,1075
49,36000,1,1,110,0,0,1600,5,1080
45,36000,1,1,110,1,1,1600,3,1070
52,35823,1,1,110,0,0,1600,5,1075
56,35230,1,1,97,0,0,1400,3,1025
48,35142,1,1,110,0,0,1600,3,1055
49,34890,1,1,97,0,0,1400,3,1025
51,34882,1,1,110,1,0,1600,5,1075
46,34000,1,1,110,1,0,1600,5,1075
56,33998,1,1,110,0,0,1600,5,1080
55,33230,1,1,110,0,0,1600,3,1050
46,33021,1,1,110,1,0,1600,5,1080
49,31999,1,1,97,0,0,1400,3,1030
52,31579,1,1,97,0,0,1400,3,1025
56,31000,1,1,97,0,0,1400,3,1025
46,30806,1,1,97,1,0,1400,5,1060
55,30461,1,1,86,1,0,1300,5,1050
50,29686,1,1,110,1,1,1600,3,1075
55,29650,1,1,86,0,0,1300,3,1025
52,29500,1,1,110,1,0,1600,3,1055
48,28656,1,1,97,0,0,1400,3,1085
55,27500,1,1,97,1,0,1400,3,1025
48,26938,1,1,110,1,0,1600,3,1040
53,26624,1,1,97,0,0,1400,5,1060
47,26221,1,1,97,1,0,1400,3,1025
50,22648,1,1,97,1,0,1400,5,1060
50,22500,1,1,97,1,0,1400,3,1025
56,19313,1,1,97,0,0,1400,3,1025
50,17619,1,1,110,0,0,1600,4,1030
51,17069,1,1,97,1,0,1400,3,1025
48,15000,1,1,97,1,0,1400,3,1025
50,10210,1,1,97,0,0,1400,5,1065
47,5309,1,1,110,1,1,1600,3,1070
50,1,0,0,90,1,0,2000,3,1260
52,31000,1,1,97,0,0,1398,3,1025
58,205000,0,0,72,1,0,2000,4,1100
68,204250,0,0,72,0,0,2000,3,1115
